         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           20000              -8              -4         -3.9944         1.99825       0.0223686        -7.98111
           20100              -8               4        -3.97386         1.98812       0.0254321        -7.86037
           20200              -8               4        -3.95451         1.97843       0.0253064        -7.74539
           20300              -8               4        -3.93553         1.96893       0.0251819        -7.63338
           20400              -8               4        -3.91692         1.95962       0.0250587        -7.52422
           20500              -8               4        -3.89867         1.95048       0.0249366        -7.41781
           20600              -8               4        -3.88075         1.94151       0.0248158        -7.31406
           20700              -8               4        -3.86318         1.93271       0.0246961        -7.21288
           20800              -8               4        -3.84593         1.92407       0.0245775        -7.11417
           20900              -8               4        -3.82881         1.91555       0.0252233        -7.01743
           21000              -8               4        -3.81218         1.90723       0.0251033        -6.92343
           21100              -8               4        -3.79586         1.89905       0.0249846        -6.83166
           21200              -8               4        -3.77982         1.89103       0.0248669        -6.74205
           21300              -8               4        -3.76407         1.88314       0.0247503        -6.65454
           21400              -8               4        -3.74842         1.87535       0.0253802        -6.56864
           21500              -8              -4        -3.73287         1.86765       0.0267458        -6.48432
           21600              -8              -4        -3.71793         1.86017       0.0266222        -6.40269
           21700              -8              -4        -3.70325         1.85282       0.0264997        -6.32289
           21800              -8              -4        -3.68881         1.84559       0.0263784        -6.24486
           21900              -8              -4        -3.67462         1.83849       0.0262581        -6.16855
           22000              -8              -4        -3.66067          1.8315        0.026139         -6.0939
           22100              -8              -4        -3.64694         1.82463       0.0260209        -6.02087
           22200              -8              -4        -3.63344         1.81787       0.0259039        -5.94941
           22300              -8              -4        -3.62016         1.81122       0.0257879        -5.87946
           22400              -8              -4        -3.60694         1.80464       0.0263849        -5.81065
           22500              -8              -4        -3.59408          1.7982       0.0262678        -5.74361
           22600              -8              -4        -3.58143         1.79187       0.0261518        -5.67796
           22700              -8              -4        -3.56898         1.78563       0.0260368        -5.61366
           22800              -8              -4        -3.55672         1.77949       0.0259228        -5.55067
           22900              -8              -4        -3.54465         1.77345       0.0258098        -5.48894
           23000              -8              -4        -3.53277          1.7675       0.0256977        -5.42846
           23100              -8              -4        -3.52107         1.76164       0.0255867        -5.36917
           23200              -8              -4        -3.50955         1.75587       0.0254765        -5.31105
           23300              -8              -4         -3.4982         1.75019       0.0253674        -5.25406
           23400              -8              -4        -3.48701         1.74459       0.0252591        -5.19818
           23500              -8              -4          -3.476         1.73907       0.0251518        -5.14337
           23600              -8              -4        -3.46515         1.73364       0.0250454         -5.0896
           23700              -8              -4        -3.45445         1.72828       0.0249399        -5.03685
           23800              -8              -4        -3.44391         1.72301       0.0248353        -4.98509
           23900              -8              -4        -3.43353         1.71781       0.0247315        -4.93429
           24000              -8              -4        -3.42329         1.71268       0.0246286        -4.88443
           24100              -8              -4        -3.41319         1.70762       0.0245266        -4.83548
           24200              -8              -4        -3.40324         1.70264       0.0244254        -4.78742
           24300              -8              -4        -3.39343         1.69773        0.024325        -4.74023
           24400              -8              -4        -3.38375         1.69288       0.0242255        -4.69388
           24500              -8              -4        -3.37421          1.6881       0.0241268        -4.64836
           24600              -8              -4        -3.36479         1.68339       0.0240288        -4.60364
           24700              -8              -4        -3.35551         1.67874       0.0239317         -4.5597
           24800              -8               4        -3.34608         1.67405       0.0251217        -4.51564
           24900              -8               4        -3.33705         1.66953        0.025021        -4.47322
           25000              -8               4        -3.32813         1.66507       0.0249211        -4.43152
           25100              -8               4        -3.31934         1.66066       0.0248219        -4.39053
           25200              -8              -4        -3.31053         1.65628       0.0253565           -4.35
           25300              -8              -4        -3.30196         1.65199       0.0252564        -4.31038
           25400              -8              -4        -3.29351         1.64776       0.0251572        -4.27142
           25500              -8              -4        -3.28516         1.64358       0.0250587        -4.23311
           25600              -8              -4        -3.27692         1.63946       0.0249609        -4.19542
           25700              -8              -4        -3.26879         1.63538        0.024864        -4.15835
           25800              -8              -4        -3.26076         1.63136       0.0247677        -4.12187
           25900              -8              -4        -3.25283         1.62739       0.0246723        -4.08598
           26000              -8              -4          -3.245         1.62347       0.0245775        -4.05067
           26100              -8              -4        -3.23727          1.6196       0.0244835        -4.01591
           26200              -8              -4        -3.22938         1.61565       0.0256077         -3.9806
           26300              -8              -4        -3.22184         1.61187       0.0255105        -3.94693
           26400              -8              -4        -3.21439         1.60814        0.025414        -3.91379
           26500              -8               4        -3.20679         1.60436       0.0265219        -3.88042
           26600              -8               4        -3.19952         1.60072       0.0264224        -3.84829
           26700              -8               4        -3.19234         1.59713       0.0263236        -3.81666
           26800              -8               4        -3.18524         1.59357       0.0262255         -3.7855
           26900              -8               4        -3.17822         1.59006       0.0261282        -3.75481
           27000              -8               4        -3.17082         1.58635       0.0283939        -3.72253
           27100              -8               4        -3.16398         1.58292       0.0282893        -3.69277
           27200              -8               4        -3.15721         1.57953       0.0281855        -3.66344
           27300              -8               4        -3.15052         1.57618       0.0280824        -3.63455
           27400              -8               4        -3.14391         1.57287       0.0279801        -3.60607
           27500              -8               4        -3.13737          1.5696       0.0278785        -3.57801
           27600              -8               4        -3.13091         1.56636       0.0277777        -3.55034
           27700              -8               4        -3.12452         1.56316       0.0276776        -3.52308
           27800              -8               4         -3.1182            1.56       0.0275782         -3.4962
           27900              -8               4        -3.11196         1.55687       0.0274795         -3.4697
           28000              -8               4        -3.10578         1.55378       0.0273816        -3.44357
           28100              -8               4        -3.09967         1.55072       0.0272843         -3.4178
           28200              -8               4        -3.09286         1.54742       0.0311448        -3.39031
           28300              -8               4        -3.08678          1.5444       0.0315981         -3.3651
           28400              -8               4        -3.08087         1.54144       0.0314871         -3.3404
           28500               0               2        -3.07492         1.53849        0.031936        -3.31587
           28600              -8              -4        -3.06849         1.53543       0.0351671        -3.29083
           28700              -8              -4        -3.06278         1.53257       0.0350449        -3.26713
           28800              -8              -4        -3.05713         1.52973       0.0349234        -3.24375
           28900              -8              -4        -3.05153         1.52693       0.0348029        -3.22068
           29000              -8               4        -3.04558         1.52403       0.0368801        -3.19699
           29100              -8               4         -3.0401         1.52128       0.0367537        -3.17453
           29200              -8               4        -3.03469         1.51857       0.0366281        -3.15237
           29300              -8               4        -3.02933         1.51588       0.0365034        -3.13049
           29400              -8               4        -3.02402         1.51322       0.0363795         -3.1089
           29500              -8               4        -3.01877         1.51059       0.0362565        -3.08758
           29600              -8               4        -3.01357         1.50798       0.0361342        -3.06653
           29700              -8               4        -3.00843         1.50541       0.0360129        -3.04575
           29800              -8               4        -3.00333         1.50285       0.0358923        -3.02523
           29900              -8               4        -2.99829         1.50033       0.0357725        -3.00498
           30000              -8               4         -2.9933         1.49782       0.0356535        -2.98497
           30100              -8               4        -2.98836         1.49535       0.0355353        -2.96521
           30200              -8               4        -2.98347          1.4929       0.0354179         -2.9457
           30300              -8               4        -2.97862         1.49047       0.0353013        -2.92642
           30400              -8               4        -2.97382         1.48806       0.0351854        -2.90738
           30500              -8               4        -2.96907         1.48568       0.0350703        -2.88858
           30600              -8               4        -2.96437         1.48333        0.034956           -2.87
           30700              -8               4        -2.95971         1.48099       0.0348424        -2.85164
           30800              -8               4         -2.9551         1.47868       0.0347295         -2.8335
           30900              -8               4        -2.95053         1.47639       0.0346173        -2.81558
           31000              -8               4          -2.946         1.47412       0.0345059        -2.79787
           31100              -8               4        -2.94152         1.47187       0.0343952        -2.78037
           31200              -8               4        -2.93708         1.46965       0.0342852        -2.76307
           31300              -8               4        -2.93268         1.46744       0.0341759        -2.74598
           31400              -8               4        -2.92832         1.46526       0.0340673        -2.72908
           31500              -8               4          -2.924         1.46309       0.0339594        -2.71238
           31600              -8               4        -2.91972         1.46095       0.0338521        -2.69587
           31700              -8               4        -2.91548         1.45882       0.0337456        -2.67955
           31800              -8               4        -2.91119          1.4567       0.0341407        -2.66328
           31900              -8               4        -2.90703         1.45461       0.0340339        -2.64733
           32000              -8               4        -2.90291         1.45255       0.0339278        -2.63155
           32100              -8               4        -2.89882          1.4505       0.0338223        -2.61596
           32200              -8               4        -2.89477         1.44847       0.0337175        -2.60053
           32300              -8               4        -2.89076         1.44646       0.0336133        -2.58528
           32400              -8               4        -2.88679         1.44446       0.0335098        -2.57019
           32500              -8               4        -2.88284         1.44249       0.0334069        -2.55527
           32600              -8              -4        -2.87894         1.44053       0.0333046        -2.54052
           32700              -8              -4        -2.87507         1.43859        0.033203        -2.52592
           32800              -8              -4        -2.87123         1.43667        0.033102        -2.51148
           32900              -8              -4        -2.86742         1.43476       0.0330016         -2.4972
           33000              -8              -4        -2.86365         1.43287       0.0329018        -2.48307
           33100              -8              -4        -2.85991           1.431       0.0328026        -2.46909
           33200              -8              -4        -2.85621         1.42914        0.032704        -2.45526
           33300              -8              -4        -2.85253          1.4273        0.032606        -2.44157
           33400              -8              -4        -2.84889         1.42547       0.0325085        -2.42803
           33500              -8              -4        -2.84528         1.42366       0.0324117        -2.41463
           33600              -8              -4        -2.84169         1.42186       0.0323154        -2.40137
           33700              -8              -4        -2.83814         1.42008       0.0322197        -2.38825
           33800              -8              -4        -2.83462         1.41832       0.0321246        -2.37526
           33900              -8              -4        -2.83113         1.41657         0.03203         -2.3624
           34000              -8              -4        -2.82767         1.41483        0.031936        -2.34968
           34100              -8              -4        -2.82423         1.41311       0.0318425        -2.33709
           34200              -8              -4        -2.82083          1.4114       0.0317496        -2.32462
           34300              -8              -4        -2.81745         1.40971       0.0316572        -2.31228
           34400              -8              -4         -2.8141         1.40803       0.0315654        -2.30006
           34500              -8              -4        -2.81078         1.40637       0.0314741        -2.28797
           34600              -8              -4        -2.80748         1.40472       0.0313833        -2.27599
           34700              -8              -4        -2.80421         1.40308        0.031293        -2.26414
           34800              -8              -4        -2.80097         1.40145       0.0312033         -2.2524
           34900              -8              -4        -2.79775         1.39984        0.031114        -2.24077
           35000              -8              -4        -2.79456         1.39824       0.0310253        -2.22926
           35100              -8              -4        -2.79139         1.39665       0.0309371        -2.21786
           35200              -8              -4        -2.78825         1.39508       0.0308494        -2.20657
           35300              -8              -4        -2.78514         1.39352       0.0307622        -2.19539
           35400              -8              -4        -2.78205         1.39197       0.0306754        -2.18432
           35500              -8              -4        -2.77898         1.39043       0.0305892        -2.17335
           35600              -8              -4        -2.77594         1.38891       0.0305034        -2.16249
           35700              -8              -4        -2.77292         1.38739       0.0304181        -2.15173
           35800              -8              -4        -2.76992         1.38589       0.0303333        -2.14108
           35900              -8              -4        -2.76695          1.3844        0.030249        -2.13052
           36000              -8              -4          -2.764         1.38292       0.0301651        -2.12006
           36100              -8              -4        -2.76107         1.38146       0.0300817         -2.1097
           36200              -8              -4        -2.75817            1.38       0.0299988        -2.09943
           36300              -8              -4        -2.75529         1.37856       0.0299163        -2.08926
           36400              -8              -4        -2.75242         1.37712       0.0298343        -2.07918
           36500               0               0        -2.74951         1.37566       0.0301894        -2.06894
           36600              -8              -4        -2.74669         1.37425       0.0301071        -2.05904
           36700              -8              -4         -2.7439         1.37285       0.0300252        -2.04924
